beatmap_id,approved,submit_date,approved_date,last_update,artist,set_id,bpm,creator,creator_id,stars,diff_aim,diff_speed,cs,od,ar,hp,drain,source,genre,language,title,length,diffname,file_md5,mode,tags,favorites,rating,playcount,passcount,circles,sliders,spinners,maxcombo,storyboard,video,download_unavailable,audio_unavailable,beatmap_id,pack_id
495651,1,2014-09-07 14:57:59,2015-04-16 16:20:14,2015-04-09 12:15:20,Ice,210731,151.994,[ HalLoWeeN ],1945351,6.40223,2.70237,3.35057,5,8,9,6.7,446,Cytus,2,5,"L (Lost, Loneliness, & Liberation)",455,Ascension,be8a40562838c098e11b1135a78dc7ed,0,rayark ios android chapter vii 7 loom,-1,9.42553,218664,15160,1575,611,2,3366,1,0,0,0,495651,SA19
497016,1,2014-09-09 14:49:24,2015-01-22 22:01:05,2015-01-15 12:29:49,Halcyonic Falcon X,211328,150,Your Good Self,1653858,4.70793,2.34129,2.1511,4.5,7,8,6,426,Epic Battle Fantasy 4,2,5,Fallen Blood,481,Godcat,a434e35317b301f7af8c6acea1704bb6,0,marathon ebf ebf4 matt-likes-swords kupo707 halcyonicfalconx hfx phyrnna,-1,9.46948,114086,12893,724,430,5,1697,1,0,0,0,497016,SA17
532911,1,2014-11-02 09:38:14,2014-12-11 06:21:05,2014-12-04 05:08:18,Toyosaki Aki,228927,206,Fycho,1876867,5.23546,2.62353,2.4142,4,7,9,6,853,,5,3,Songs Compilation,906,Marathon,fa956aff22909f1057e86cdb15ec673a,0,水性メロディ 春風 shun pu パタパ シロツメクサ 片想いのテーマ 陽だまりライム カレイドスコープ ソラソラ☆あおぞら chuchuchuri lovely 初色bloomy fantasy 叶えたまえ オリオンとスパンコール そして君と恋をする from モモ ダイヤモンド more & more トマト あいのdelusion ギー太に首ったけ letter writer k-on hanasaku iroha accel world toaru kagaku no railgun to-love ru darkness yuru yuri suisei melody patapa shirotsumekusa kataomoi no theme hidamari lime kaleidoscope sorasora aozora hatsuiro bloomy kanaetamae orion to spangle diamond guitar ni kubittake harukaze soshite kimi to koi o suru from momo tomato ai no delusion,-1,9.61031,143761,13395,1585,1221,2,4571,1,0,0,0,532911,SA16
532958,1,2014-11-02 10:45:51,2015-01-30 08:40:48,2015-01-23 05:45:53,Hatsuki Yura,228955,173,Kamio Misuzu,2041350,5.30874,2.54758,2.54369,4.5,8,9.2,6,302,Touhou,2,3,Drivi'n greedy - Nhato Remix -,313,Moon,45204f5ea6e878de4d44d8889e6302dd,0,c86 東方地霊殿 死体旅行 ～ be of good cheer! esquaria xeno blaze kaenbyou rin corpse voyage subterranean animism th11,-1,9.72473,362117,45841,823,412,0,1710,0,0,0,0,532958,SA17
557980,1,2014-01-28 09:02:55,2014-12-31 13:47:45,2014-12-24 10:21:32,Meramipop,145976,197,Loneight,663131,4.85813,2.46889,2.2214,4,7.5,9,6,335,Touhou,2,3,Rakujitsu Romance,354,Romance,a4d8176d8212681645b44608910952ff,0,恋色マスタースパーク 東方永夜抄～imperishable night rd-sounds めらみぽっぷ 凋叶棕 薦 -susume- c85,-1,9.4204,228322,26741,467,665,1,1832,1,0,0,0,557980,SA17
559071,1,2014-12-10 18:46:40,2015-03-30 03:20:14,2015-03-22 19:56:45,Demetori,242185,189,Leader,631530,5.99252,2.71437,3.02447,4,9,9.2,7,303,東方Project,11,5,Kid's Festival ~ Innocent Treasures,304,Extra Stage,03fed95102e6c2ebd5ba43b9f9ee36f0,0,touhou zun theme 闡 提 宗 祀 ～ offering to the sukhavati sendai soushi warabe matsuri c75,-1,9.51902,389332,20105,755,536,0,1922,0,0,0,0,559071,SA19
561628,1,2014-12-14 00:04:03,2015-02-14 22:01:41,2015-02-07 21:51:09,Venetian Snares,243485,170,fergas,3144542,5.34025,2.40974,2.72182,4.3,8,9,6,379,,10,5,My So-Called Life,383,Dream,44ae2bb17164926b7b1e62f2f709cb3e,0,planet mu records breakcore aaron funk marathon featured artist,-1,9.66376,79058,10760,1192,477,3,2440,0,0,0,0,561628,SA18
619269,1,2015-01-28 11:31:01,2015-02-16 16:21:28,2015-02-08 15:07:50,Ito Kanako,272431,101,Yuzu-,3003978,2.33926,1.20987,1.01513,3.8,6,7.5,6,300,沙耶の唄,2,3,Saya no Uta,301,Miracle,287a6b81ea84e3f5e5e8d257c3e26060,0,nitro+ eroge visual novel horror ending fuminori sakisaka song,-1,9.16568,41291,12418,214,238,4,761,0,0,0,0,619269,SA18
630409,1,2015-02-05 10:50:05,2015-03-27 16:20:15,2015-03-20 15:56:59,BUMP OF CHICKEN,278283,91.9499,AIR,2070688,3.85484,1.92463,1.7612,4,6,7.5,6,349,ファイナルファンタジー 零式,2,3,Zero,402,Rain,b3e789a9d1ccb26dd475e353690cdfc1,0,ending final_fantasy_type-0,-1,9.18182,84997,11971,497,419,3,1360,0,0,0,0,630409,SA19
631413,1,2015-02-06 09:02:33,2015-03-21 00:40:15,2015-03-13 22:52:22,supercell,278813,189,monstrata,2706438,5.78216,2.94648,2.55699,4,7,9,6.5,348,マギ,3,3,The Bravery,349,Depravity,902bb4bfd3d3674f6c9417ee77038d48,0,ryo the bravery magi the labyrinth of magic full ending 2 aladdin koeda,-1,9.50775,629160,40485,796,556,1,2010,0,0,0,0,631413,SA18
657034,1,2015-03-08 09:41:46,2015-03-25 17:20:14,2015-03-18 02:33:40,Mr.Kitty,291847,122,-Bakari-,597957,2.71199,1.43303,1.15237,4,7,8,6,304,,10,2,Destroy Me,347,Dark,a3708ca70724d0b8c1c1fc19dcb834ac,0,synthpop eternity marathon goth,-1,9.35706,354909,73590,199,354,3,964,1,0,0,0,657034,SA19
658719,1,2015-03-11 07:29:53,2015-04-04 00:40:13,2015-03-28 00:10:25,BiBi,292727,98,Xinely,1521445,5.77192,2.95849,2.54187,4,8,9,6,310,ラブライブ！ School idol project,3,3,Fuyu ga Kureta Yokan,320,Snowing,35c99c61a67d61d6bb034ba820293e37,0,marathon love live! 絢瀬絵里 西木野真姫 矢澤にこ ayase eli nishikino maki yazawa nico 南條愛乃 nanjou nanjo yoshino pile 徳井青空 tokui sora,-1,9.48988,215579,14637,662,514,1,1917,0,0,0,0,658719,SA19
261464,1,2013-06-09 20:45:18,2014-12-27 20:02:32,2014-12-20 19:50:21,Venetian Snares,97902,174,Blue Dragon,19048,5.80077,2.8914,2.67054,4.5,8,9,6,454,,6,5,Hajnal,455,broken,52c4f23aa3a899d264a77599bb745f32,0,breakcore rossz csillag alatt szuletett aaron funk marathon,-1,9.14356,158543,7790,991,721,24,2688,0,0,0,0,261464,SA16
315867,1,2013-10-21 18:33:24,2014-07-16 22:22:11,2014-07-09 15:50:01,Pendulum,123756,126,Sala-,587737,4.46563,2.24563,2.03569,4,8,8.5,7,487,,10,2,The Island,534,Absolution,80ffe5d2a006566d938147ca3a59bc9d,0,immersion dawn dusk dubstep drum_and_bass instrumental electronic house music,-1,9.07042,771264,65605,515,707,8,2111,0,0,0,0,315867,SA15
350921,1,2014-01-06 03:31:58,2014-11-11 22:20:50,2014-11-04 21:54:15,Infected Mushroom,140526,130,SuperMICrophone,969161,5.83605,2.61135,2.96381,4,7,9,6,357,,10,5,Never Mind,359,Disregard,b397d4d0d0eb8b9999e53fe4a934448b,0,army of mushrooms nwolf smic,-1,9.55063,247651,19770,979,602,5,2557,0,0,0,0,350921,SA16
369794,1,2014-02-12 18:16:25,2015-02-06 16:21:18,2015-01-30 16:14:27,Eels,149667,64,Pjecoo,2959862,1.09113,0.592249,0.429193,3,2,3,2,141,Shrek 2,5,2,I Need Some Sleep,141,Beginner,0842b05a316193513290c01e615f7ea7,0,-bakari- dreamworks mark oliver everett,-1,8.8743,50709,29287,34,52,1,226,1,0,0,0,369794,SA17
369795,1,2014-02-12 18:16:25,2015-02-06 16:21:18,2015-01-30 16:14:27,Eels,149667,64,Pjecoo,2959862,1.74647,0.883806,0.794967,4,4,5,4,141,Shrek 2,5,2,I Need Some Sleep,141,Advanced,37ad9710e906016825b4718c920eb988,0,-bakari- dreamworks mark oliver everett,-1,8.8743,72991,33067,89,84,2,306,1,0,0,0,369795,SA17
430908,1,2014-05-28 09:02:53,2015-01-18 18:01:21,2015-01-11 17:30:53,Hiroyuki Sawano feat. Mika Kobayashi,179247,97,xChippy,1026491,5.14369,2.77192,2.03599,4,8,9.2,7,360,GUILTY CROWN,3,8,Bios Epic Edition,419,King,1dc1b7ec22112a65b39a2cbb191f1fb2,0,remix ost ギルティクラウン,-1,9.66068,624765,71209,545,661,3,1918,0,0,0,0,430908,SA17
431147,1,2014-05-28 16:20:07,2014-10-10 03:00:41,2014-10-03 02:28:26,Sakamoto Maaya,179323,176,Azer,2155578,4.95857,2.47469,2.26572,4,8,9,6,298,Tamayura ~hitotose~,3,3,Okaerinasai (tomatomerde Remix),353,Collab,131b810bea296be79c22c510aff63345,0,tamayura&bass rlc those frostmourne 11t,-1,9.72962,2132668,315656,691,454,7,1664,1,0,0,0,431147,SA15
431957,1,2014-05-30 04:06:29,2014-08-18 22:02:14,2014-08-11 21:28:00,Halozy,179699,183,captin1,689997,5.96725,2.99977,2.7359,4.2,8,9.2,6,307,Touhou,2,3,Kanshou no Matenrou,327,Eternal,c5981f1709103aba624851a948f51d4d,0,aqua trytone hotaru sentimental skyscraper emotional cosmic mind myouren hijiri byakuren delis yf_bmp collab collaboration,-1,9.7615,1164938,141112,957,442,3,1984,1,0,0,0,431957,SA15
433005,1,2014-05-31 16:40:46,2015-04-11 18:40:14,2015-04-04 17:46:42,Halozy,180138,173,Hollow Wings,416662,7.69485,3.97544,3.36277,4,8,9.6,6,300,東方Project,2,3,Genryuu Kaiko,302,Higan Torrent,5bb737207dab0afeb8c7b22fafa26abc,0,touhou cosmic armonica ほたる hotaru すみじゅん sumijun くまりす kumarisu 東方花映塚 彼岸帰航 higan retour ~ riverside view 小野塚 小町 おのづか こまち onozuka komachi th09 c79 hw shallicomparethee sict zun,-1,9.49964,3952691,135399,1279,610,3,2667,1,0,0,0,433005,SA19
433441,1,2014-06-01 10:45:38,2014-11-11 10:00:39,2014-11-04 09:35:26,Hanatan,180366,98,Natsu,1953876,3.91973,1.90883,1.84707,4,6.5,8,6,303,,4,3,Uta ni Katachi wa Nai keredo,305,Flower,d40a928e02e005f1a71fde8f06c35159,0,xinely ユリカ doriko vocaloid hatsune miku yurica,-1,9.55076,207859,42074,591,220,6,1138,0,0,0,0,433441,SA16
487951,1,2014-08-27 10:55:02,2015-04-05 12:20:15,2015-03-28 15:13:38,TRakker,207045,182,Amamiya Yuko,873961,5.98332,2.82245,2.90951,4,8.3,9.3,6,362,,10,3,Trail of Dust,391,Trail of Star,eeb649a70d2c48012cec007bffe4ff30,0,transwing -the inner gaze- taishi aoba ringo taka shallicomparethee hollow wings skystar,-1,9.54386,353814,32574,1082,604,0,2632,1,0,0,0,487951,SA19
489016,1,2014-08-29 05:22:33,2015-03-25 08:20:13,2015-03-18 07:52:00,nano.RIPE,207561,190,Milan-,1052994,5.28542,2.53134,2.53808,4,7.5,9,6.5,493,,5,3,Songs Compilation,604,Marathon,1323852692ecd60cd7cf304f95006a5a,0,yauxo appleeaterx pho kocari tsukikage to buranko 月影とブランコ zettaichi 絶対値 tsuma bikuhitori ツマビクヒトリ kage fumi 影踏み toumei na sekai 透明な世界 hana no iro ハナノイロ start chart スターチャート sora no shounen 空の少年 flash keeper フラッシュキーパー virtual boy バーチャルボーイ esoragoto 絵空事 fault finder フォルトファインダー moratorium モラトリアム nokuchiruka ノクチルカ moshimo no hanashi もしもの話 real world リアルワールド omokage warp 面影ワープ rain curtain レインカーテン hanasaku iroha 花咲くいろは home sweet home jinrui wa suitai shimashita 人類は衰退しました sankarea さんかれあ glasslip グラスリップ bakuman. 3 バクマン。 hataraku maou-sama! はたらく魔王さま! opening ending tv size short version cut insert the devil is a part timer lantis p.a. works collab kawaii desu,-1,9.51948,127560,11112,1034,802,1,2707,1,0,0,0,489016,SA19
520516,1,2014-10-14 08:27:53,2015-03-09 06:40:14,2015-03-02 06:05:07,fhana,222698,127,rui,74313,4.15428,2.07531,1.93876,4,7,8.3,7,329,天体のメソッド,3,3,Hoshikuzu no Interlude,331,Collab,2c6e55af78add3594310837fba5aac2d,0,maaagic soga sora no method noel nonoka yuzuki toyosaki aki natsukawa shiina minase inori,-1,8.77143,60447,5744,583,477,1,1778,1,0,0,0,520516,SA18
521710,1,2014-05-15 13:46:30,2015-02-17 16:20:33,2015-02-09 06:11:53,Tatsumi Megumi featured by Sano Hiroaki,175262,184,Chirony,1686709,5.61091,2.67209,2.70005,4,8,9,6,306,,2,3,Tsubomi (Long Version),307,Cherry Blossom,856c420b6d9d41a3a8c503df4d598861,0,guitarfreaksxg3 & drummaniaxg3 original soundtrack 2nd season jubeat saucer fulfill,-1,9.45228,159823,14380,772,478,5,1987,1,0,0,0,521710,SA18
